"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2017-09-30T22:00:00.000Z","57.46","61.38","55.06","61.37","6.66","6.01","526,365"
"2017-10-31T23:00:00.000Z","61.29","64.64","60.04","63.57","3.58","2.94","558,759"
"2017-11-30T23:00:00.000Z","63.49","67.08","61.14","66.60","4.77","4.12","472,859"
"2018-01-01T23:00:00.000Z","66.42","71.26","66.23","69.05","3.68","3.04","465,261"
"2018-01-31T23:00:00.000Z","69.08","70.01","61.76","65.78","-4.74","-5.38","567,268"
"2018-02-28T23:00:00.000Z","65.71","71.05","63.20","70.27","6.83","6.18","645,241"
"2018-03-31T22:00:00.000Z","70.14","75.46","66.70","75.17","6.97","6.33","662,445"
"2018-04-30T22:00:00.000Z","75.17","80.50","72.37","77.59","3.22","2.58","654,964"
"2018-05-31T22:00:00.000Z","77.59","79.70","72.44","79.44","2.38","1.74","684,888"
"2018-06-30T22:00:00.000Z","79.41","79.50","71.20","74.25","-6.53","-7.18","530,127"
"2018-07-31T22:00:00.000Z","74.25","78.00","70.30","77.42","4.27","3.63","402,979"
"2018-09-01T22:00:00.000Z","78.19","82.85","75.64","82.72","6.85","6.20","457,907"
"2018-09-30T22:00:00.000Z","82.67","86.72","75.11","75.47","-8.76","-9.41","781,961"
"2018-10-31T23:00:00.000Z","75.50","75.50","57.52","58.71","-22.21","-22.85","738,706"
"2018-12-01T23:00:00.000Z","58.69","63.71","49.96","52.28","-10.95","-11.59","611,959"
"2019-01-01T23:00:00.000Z","54.25","63.12","52.50","61.89","18.38","17.74","684,409"
"2019-01-31T23:00:00.000Z","61.87","67.73","60.61","66.03","6.69","6.05","559,896"
"2019-02-28T23:00:00.000Z","66.01","68.88","64.01","68.39","3.57","2.93","695,425"
"2019-03-31T22:00:00.000Z","68.35","75.59","68.35","72.80","6.45","5.81","823,195"
"2019-04-30T22:00:00.000Z","72.79","73.39","64.42","64.49","-11.41","-12.06","1,047,307"
"2019-06-01T22:00:00.000Z","64.45","66.86","59.45","66.55","3.19","2.55","896,145"
"2019-06-30T22:00:00.000Z","66.50","67.64","61.29","65.17","-2.07","-2.72","718,062"
"2019-07-31T22:00:00.000Z","65.19","65.19","55.88","60.43","-7.27","-7.92","806,410"
"2019-08-31T22:00:00.000Z","59.07","71.00","57.22","60.78","0.58","-0.06","692,450"
"2019-09-30T22:00:00.000Z","60.75","62.34","56.15","60.23","-0.90","-1.55","808,581"
"2019-10-31T23:00:00.000Z","60.21","64.60","60.21","62.43","3.65","3.01","572,198"
"2019-11-30T23:00:00.000Z","62.40","68.91","60.30","68.38","9.53","8.89","613,207"
"2020-01-01T23:00:00.000Z","66.47","71.99","57.73","58.16","-14.95","-15.59","850,898"
"2020-02-01T23:00:00.000Z","58.20","60.02","50.12","50.52","-13.14","-13.78","725,258"
"2020-02-29T23:00:00.000Z","50.48","53.87","21.69","22.74","-54.99","-55.63","928,999"
"2020-03-31T22:00:00.000Z","22.76","36.43","16.00","25.27","11.13","10.48","818,304"
